text,tag,labeled_by,batch,duplicate_text_count,has_multiple_labels_for_same_text
"For over seven decades investor-owned utilities, municipalities, cooperatives, and others have entrusted their electrical construction and maintenance needs to Davis H.",NOISE,Dan,manual_csv_upload,1,False
"Elliot Company, Inc. (Elliot).",NOISE,Dan,manual_csv_upload,1,False
"Elliot is a full-service electrical contractor specializing in overhead and underground distribution, transmission, substations, lighting, traffic signaling, utility locating and industrial/commercial services.",CTX,Dan,manual_csv_upload,1,False
"As a Lineman C you will be assisting in the installation, construction, maintenance, and repair of overhead electric lines.",OCC,Dan,manual_csv_upload,1,False
"This position is managed out of Lexington, KY with work in multiple locations and opportunities throughout KY.",NOISE,Dan,manual_csv_upload,1,False
Valid Class A CDL license and medical card recommended,REQ,Dan,manual_csv_upload,1,False
1 year of experience required,REQ,Dan,manual_csv_upload,1,False
1-2 years of experience recommended,REQ,Dan,manual_csv_upload,1,False
Own your own hand tools,REQ,Dan,manual_csv_upload,1,False
Intermediate understanding of electrical distribution systems,REQ,Dan,manual_csv_upload,1,False
Must be able to pass a criminal background check and drug screening,NOISE,Dan,manual_csv_upload,1,False
Short-Term Disability and Long-Term Disability Insurance,NOISE,Dan,manual_csv_upload,1,False
Company Paid Life Insurance w/ additional Voluntary Life Insurance,NOISE,Dan,manual_csv_upload,1,False
401K w/ company match,NOISE,Dan,manual_csv_upload,1,False
State and Federally accredited Lineman Apprenticeship program,NOISE,Dan,manual_csv_upload,1,False
Uniforms and PPE provided,NOISE,Dan,manual_csv_upload,1,False
"The Class C Lineman - Overhead is a semi-skilled position in the construction, maintenance and repair of electrical overhead distribution systems.",CTX,Dan,manual_csv_upload,1,False
This position works at various locations.,NOISE,Dan,manual_csv_upload,1,False
"Work safely while performing new construction, maintenance or repair work of energized and de-energized overhead work.",OCC,Dan,manual_csv_upload,2,False
Strings overhead wire.,OCC,Dan,manual_csv_upload,2,False
Sets poles and anchors.,OCC,Dan,manual_csv_upload,2,False
"Installs transformers, lightening arrestors, cut-outs, crossarms, insulators, switches and switchgear.",OCC,Dan,manual_csv_upload,2,False
Troubleshoots in primary and secondary systems.,OCC,Dan,manual_csv_upload,2,False
Replaces fuses in transformers and clears faulted circuits and systems.,OCC,Dan,manual_csv_upload,2,False
Frequently works with energized high voltage systems requiring skill and care to protect the lives of themselves and others.,OCC,Dan,manual_csv_upload,2,False
"Maintains company vehicles, equipment and tools in good working order.",OCC,Dan,manual_csv_upload,2,False
Does all other related work as required to complete the job.,ACT,Dan,manual_csv_upload,2,False
Able to perform rigorous physical labor.,ACT,Dan,manual_csv_upload,3,True
Must be able to identify primary and secondary voltage on a circuit.,OCC,Dan,manual_csv_upload,2,False
Must be familiar with induced voltage.,OCC,Dan,manual_csv_upload,2,False
Understands grounding procedures.,OCC,Dan,manual_csv_upload,2,False
Understands how to use a load buster tool.,OCC,Dan,manual_csv_upload,2,False
Capable of installing and hooking up a single-phase transformer.,OCC,Dan,manual_csv_upload,2,False
Capable of safely setting a pole.,OCC,Dan,manual_csv_upload,2,False
Must understand equipment set up and grounding.,OCC,Dan,manual_csv_upload,2,False
Capable of working at heights and/or confined spaces.,OCC,Dan,manual_csv_upload,3,True
Capable of properly installing and removing PPE and cover up.,OCC,Dan,manual_csv_upload,2,True
Capable of checking voltage on transformers.,OCC,Dan,manual_csv_upload,2,False
Capable of tying in a primary conductor.,OCC,Dan,manual_csv_upload,2,False
"Must be able to climb different types of structures (wood, steel, etc.) and possess the necessary tools to do so.",OCC,Dan,manual_csv_upload,2,False
Understands how to phase out a line using phasing sticks.,OCC,Dan,manual_csv_upload,2,False
Understands how to obtain a one shot on a recloser.,OCC,Dan,manual_csv_upload,2,False
Must be able to effectively conduct a pre-job or tailgate briefing.,OCC,Dan,manual_csv_upload,2,True
